world_id	title_en	title_zh	vision_en	vision_zh
0002c65b-b39a-4b3f-a47e-0b0a195c7f3a	The Day the World Ended	世界终结之日	Civilization collapses overnight, forcing an ordinary survivor to lead fragile communities through ruined cities and decide what kind of society can remain.	文明在一夜之间崩塌，一名普通幸存者必须带领脆弱社区穿越废墟，并决定余下的人将建立怎样的社会。
00ab8e9e-d546-442d-8d31-35f2acf8f848	Office Drone vs Alien Apocalypse	上班族大战外星末日	An office worker becomes the unlikely center of a chaotic alien invasion and must survive with scavenged gear, quick thinking, and uneasy government help.	一名普通上班族意外成为外星入侵的关键人物，必须依靠拾荒装备、临场判断和并不可靠的政府援助求生。
01fa9a14-2644-47aa-9595-2783d9ce9964	Call of the Old Forest	古林的召唤	A villager enters a forbidden forest that whispers his name, searching for missing neighbors and the truth about his bond with the ancient woods.	一名村民进入会低声呼唤其姓名的禁忌古林，寻找失踪邻居，并查明自己与森林之间的古老联系。
0480d03a-dcba-4537-b166-1bc9459ac2de	Voyage to Centauri	远航半人马座	After an accident kills the senior officers, an acting commander must maintain a generation ship, hold the crew together, and reach humanity's possible new home.	高层船员在事故中丧生后，代理指挥官必须维持世代飞船、稳住船员关系，并抵达人类可能的新家园。
059c3a15-80d9-4d24-9e61-4f5c02d8dbe4	Night Shift at Nightmare Logistics	噩梦物流夜班	A tired demon clerk processes supernatural deliveries in a district that changes every shift while learning to set boundaries amid escalating absurdity.	一名疲惫的恶魔职员在每班都会变化的超自然城区处理诡异货运，并在不断升级的混乱中学会建立边界。
06b97118-f2ec-4def-a117-6984838fc85f	Shadows of Seoul	首尔暗影	A newcomer rises through Seoul's underworld by trading, negotiating, forming alliances, and surviving betrayals while reputation determines control.	一名无名新人通过交易、谈判、结盟与应对背叛在首尔地下世界崛起，而声望将决定其控制力。
07460b91-c947-4f0f-a5f4-b6ef439c8d77	Echoes of Elvoria	艾尔沃利亚回声	An ancient rogue crosses neon slums and glittering towers, evades pervasive surveillance, and infiltrates a corporation to disable invasive technology.	一名古老游侠穿越霓虹贫民区与闪耀高塔，躲避无处不在的监控，并潜入企业以关闭侵入性科技。
07c73ef1-7525-443a-b035-a137159f6021	Milo's Cardboard Cosmos	米洛的纸板宇宙	A child's cardboard rocket reaches real space, turning friendly planets into playful gravity puzzles and opportunities to help alien neighbors.	孩子的纸板火箭真的飞入太空，每颗友善星球都成为重力谜题和帮助外星伙伴的机会。
08707e8a-109e-4378-84e4-b9c74ce09c60	Neon Shadows: The Missing Link	霓虹暗影：失踪线索	A private investigator follows a missing person's data trail through an acid-rain metropolis, hacking forbidden systems and choosing which secrets to expose.	一名私家侦探在酸雨都市追查失踪者的数据痕迹，破解禁用系统，并决定哪些秘密值得公开。
0ce32e5e-d0e5-4433-8fb7-1eaeb81eabb0	The Day That Should Not Have Happened	本不该发生的一天	An unlucky young man wakes with amnesia, a nearly dead phone, and strange objects in his pockets, then races through the city to reconstruct the day.	一个倒霉青年醒来时失去记忆、手机濒临没电且口袋里满是怪东西，必须穿过城市重建这一天的真相。
10c25e80-5a37-44c0-9391-034548998cad	Tower Eternal	永恒天塔	A lightning-gifted adventurer climbs an endless floating tower, clearing bosses, controlling settlements, and navigating guild politics under permanent-death pressure.	一名拥有雷电天赋的冒险者攀登无尽浮空高塔，在永久死亡压力下讨伐首领、控制据点并周旋于公会政治。
1493b04f-5a3e-4ae0-aee7-46f507d1d5ed	Eternal Ascendant	永恒升格者	A dark immortal seeks divine mastery across fractured realms by conquering territory, forging alliances, and controlling twelve dangerous seals.	一名黑暗不朽者在破碎诸界中征服领地、缔结联盟并掌握十二道危险封印，以追求神性升格。
1b4c8819-c0e6-4b7c-a54d-0a684e737f12	Lines and Blueprints	线条与蓝图	A precise architect shares a cramped studio with a chaotic muralist and must balance client work, creative inspiration, and a growing partnership.	严谨建筑师与随性的壁画家共用狭小工作室，必须平衡客户项目、意外灵感与逐渐发展的伙伴关系。
1da77e43-80db-442c-8b74-7a6d8c37f4e6	Secrets of the Forgotten Sands	遗忘沙海的秘密	A desert traveler discovers an impossible artifact, negotiates among rival factions, and follows buried histories across villages and cities.	一名沙漠旅人发现不应存在的古物，在敌对派系间斡旋，并追寻埋藏于村庄与城市下的历史。
