task_id,base_task_id,language,family,difficulty,rater,functional_visual,presentation,overall_quality,vlm_functional_visual,vlm_presentation,vlm_overall_quality
mz_aiga-world-9cb28ae7-en,mz_aiga-world-9cb28ae7,en,action,high,rater-1,,,,,,
mz_aiga-world-9cb28ae7-en,mz_aiga-world-9cb28ae7,en,action,high,rater-2,,,,,,
mz_aiga-world-9cb28ae7-zh,mz_aiga-world-9cb28ae7,zh,action,high,rater-1,,,,,,
mz_aiga-world-9cb28ae7-zh,mz_aiga-world-9cb28ae7,zh,action,high,rater-2,,,,,,
mz_summer-action-fighting-army-sweeper-en,mz_summer-action-fighting-army-sweeper,en,action,medium,rater-1,,,,,,
mz_summer-action-fighting-army-sweeper-en,mz_summer-action-fighting-army-sweeper,en,action,medium,rater-2,,,,,,
mz_summer-action-fighting-army-sweeper-zh,mz_summer-action-fighting-army-sweeper,zh,action,medium,rater-1,,,,,,
mz_summer-action-fighting-army-sweeper-zh,mz_summer-action-fighting-army-sweeper,zh,action,medium,rater-2,,,,,,
mz_summer-adventure-open-world-adventure-en,mz_summer-adventure-open-world-adventure,en,adventure,high,rater-1,,,,,,
mz_summer-adventure-open-world-adventure-en,mz_summer-adventure-open-world-adventure,en,adventure,high,rater-2,,,,,,
mz_summer-adventure-open-world-adventure-zh,mz_summer-adventure-open-world-adventure,zh,adventure,high,rater-1,,,,,,
mz_summer-adventure-open-world-adventure-zh,mz_summer-adventure-open-world-adventure,zh,adventure,high,rater-2,,,,,,
mz_summer-adventure-point-and-click-en,mz_summer-adventure-point-and-click,en,adventure,medium,rater-1,,,,,,
mz_summer-adventure-point-and-click-en,mz_summer-adventure-point-and-click,en,adventure,medium,rater-2,,,,,,
mz_summer-adventure-point-and-click-zh,mz_summer-adventure-point-and-click,zh,adventure,medium,rater-1,,,,,,
mz_summer-adventure-point-and-click-zh,mz_summer-adventure-point-and-click,zh,adventure,medium,rater-2,,,,,,
mz_evolink-07-chameleon-hide-seek-en,mz_evolink-07-chameleon-hide-seek,en,arcade,low,rater-1,,,,,,
mz_evolink-07-chameleon-hide-seek-en,mz_evolink-07-chameleon-hide-seek,en,arcade,low,rater-2,,,,,,
mz_evolink-07-chameleon-hide-seek-zh,mz_evolink-07-chameleon-hide-seek,zh,arcade,low,rater-1,,,,,,
mz_evolink-07-chameleon-hide-seek-zh,mz_evolink-07-chameleon-hide-seek,zh,arcade,low,rater-2,,,,,,
mz_cardgame-inscription-dark-en,mz_cardgame-inscription-dark,en,cardgame,medium,rater-1,,,,,,
mz_cardgame-inscription-dark-en,mz_cardgame-inscription-dark,en,cardgame,medium,rater-2,,,,,,
mz_cardgame-inscription-dark-zh,mz_cardgame-inscription-dark,zh,cardgame,medium,rater-1,,,,,,
mz_cardgame-inscription-dark-zh,mz_cardgame-inscription-dark,zh,cardgame,medium,rater-2,,,,,,
mz_aiga-world-37c00fb7-en,mz_aiga-world-37c00fb7,en,horror,high,rater-1,,,,,,
mz_aiga-world-37c00fb7-en,mz_aiga-world-37c00fb7,en,horror,high,rater-2,,,,,,
mz_aiga-world-37c00fb7-zh,mz_aiga-world-37c00fb7,zh,horror,high,rater-1,,,,,,
mz_aiga-world-37c00fb7-zh,mz_aiga-world-37c00fb7,zh,horror,high,rater-2,,,,,,
mz_summer-horror-first-person-horror-en,mz_summer-horror-first-person-horror,en,horror,medium,rater-1,,,,,,
mz_summer-horror-first-person-horror-en,mz_summer-horror-first-person-horror,en,horror,medium,rater-2,,,,,,
mz_summer-horror-first-person-horror-zh,mz_summer-horror-first-person-horror,zh,horror,medium,rater-1,,,,,,
mz_summer-horror-first-person-horror-zh,mz_summer-horror-first-person-horror,zh,horror,medium,rater-2,,,,,,
mz_idle-ant-empire-en,mz_idle-ant-empire,en,idle,low,rater-1,,,,,,
mz_idle-ant-empire-en,mz_idle-ant-empire,en,idle,low,rater-2,,,,,,
mz_idle-ant-empire-zh,mz_idle-ant-empire,zh,idle,low,rater-1,,,,,,
mz_idle-ant-empire-zh,mz_idle-ant-empire,zh,idle,low,rater-2,,,,,,
mz_idle-factory-planet-en,mz_idle-factory-planet,en,idle,medium,rater-1,,,,,,
mz_idle-factory-planet-en,mz_idle-factory-planet,en,idle,medium,rater-2,,,,,,
mz_idle-factory-planet-zh,mz_idle-factory-planet,zh,idle,medium,rater-1,,,,,,
mz_idle-factory-planet-zh,mz_idle-factory-planet,zh,idle,medium,rater-2,,,,,,
mz_cnblogs-14-campus-constellations-en,mz_cnblogs-14-campus-constellations,en,narrative,low,rater-1,,,,,,
mz_cnblogs-14-campus-constellations-en,mz_cnblogs-14-campus-constellations,en,narrative,low,rater-2,,,,,,
mz_cnblogs-14-campus-constellations-zh,mz_cnblogs-14-campus-constellations,zh,narrative,low,rater-1,,,,,,
mz_cnblogs-14-campus-constellations-zh,mz_cnblogs-14-campus-constellations,zh,narrative,low,rater-2,,,,,,
mz_aiga-world-371d060c-en,mz_aiga-world-371d060c,en,narrative,medium,rater-1,,,,,,
mz_aiga-world-371d060c-en,mz_aiga-world-371d060c,en,narrative,medium,rater-2,,,,,,
mz_aiga-world-371d060c-zh,mz_aiga-world-371d060c,zh,narrative,medium,rater-1,,,,,,
mz_aiga-world-371d060c-zh,mz_aiga-world-371d060c,zh,narrative,medium,rater-2,,,,,,
mz_aiga-world-1de64b8b-en,mz_aiga-world-1de64b8b,en,openworld,high,rater-1,,,,,,
mz_aiga-world-1de64b8b-en,mz_aiga-world-1de64b8b,en,openworld,high,rater-2,,,,,,
mz_aiga-world-1de64b8b-zh,mz_aiga-world-1de64b8b,zh,openworld,high,rater-1,,,,,,
mz_aiga-world-1de64b8b-zh,mz_aiga-world-1de64b8b,zh,openworld,high,rater-2,,,,,,
mz_openworld-vanta-last-broadcast-en,mz_openworld-vanta-last-broadcast,en,openworld,medium,rater-1,,,,,,
mz_openworld-vanta-last-broadcast-en,mz_openworld-vanta-last-broadcast,en,openworld,medium,rater-2,,,,,,
mz_openworld-vanta-last-broadcast-zh,mz_openworld-vanta-last-broadcast,zh,openworld,medium,rater-1,,,,,,
mz_openworld-vanta-last-broadcast-zh,mz_openworld-vanta-last-broadcast,zh,openworld,medium,rater-2,,,,,,
mz_platformer-momentum-lab-en,mz_platformer-momentum-lab,en,platformer,low,rater-1,,,,,,
mz_platformer-momentum-lab-en,mz_platformer-momentum-lab,en,platformer,low,rater-2,,,,,,
mz_platformer-momentum-lab-zh,mz_platformer-momentum-lab,zh,platformer,low,rater-1,,,,,,
mz_platformer-momentum-lab-zh,mz_platformer-momentum-lab,zh,platformer,low,rater-2,,,,,,
mz_summer-platformer-collectathon-platformer-en,mz_summer-platformer-collectathon-platformer,en,platformer,medium,rater-1,,,,,,
mz_summer-platformer-collectathon-platformer-en,mz_summer-platformer-collectathon-platformer,en,platformer,medium,rater-2,,,,,,
mz_summer-platformer-collectathon-platformer-zh,mz_summer-platformer-collectathon-platformer,zh,platformer,medium,rater-1,,,,,,
mz_summer-platformer-collectathon-platformer-zh,mz_summer-platformer-collectathon-platformer,zh,platformer,medium,rater-2,,,,,,
mz_summer-puzzle-programming-puzzle-en,mz_summer-puzzle-programming-puzzle,en,puzzle,low,rater-1,,,,,,
mz_summer-puzzle-programming-puzzle-en,mz_summer-puzzle-programming-puzzle,en,puzzle,low,rater-2,,,,,,
mz_summer-puzzle-programming-puzzle-zh,mz_summer-puzzle-programming-puzzle,zh,puzzle,low,rater-1,,,,,,
mz_summer-puzzle-programming-puzzle-zh,mz_summer-puzzle-programming-puzzle,zh,puzzle,low,rater-2,,,,,,
mz_puzzle-3d-terminal-en,mz_puzzle-3d-terminal,en,puzzle,medium,rater-1,,,,,,
mz_puzzle-3d-terminal-en,mz_puzzle-3d-terminal,en,puzzle,medium,rater-2,,,,,,
